ID;SB round;Reference;Title;Year;Venue;Venue-full;Publisher;Publication.type
S2;1;Kanagasabai2018;Towards online collaborative multi-view modelling;2018;SAM;System Analysis and Modeling;Springer;C
S3;1;Debreceni2017;Property-based locking in collaborative modeling;2017;MODELS;International Conference on Model Driven Engineering Languages and Systems;IEEE;C
S5;1;Kuryazov2015;Collaborative Modeling Empowered By Modeling Deltas;2015;DChanges;International Workshop on (Document) Changes: modeling, detection, storage and visualization;ACM;W
S6;1;Kuryazov2018;Collaborative Modeling Enabled By Version Control;2018;Modellierung;Modellierung;LNI;C
S7;1;Appeldorn2018;Delta-driven collaborative modeling;2018;MODELS;International Conference on Model Driven Engineering Languages and Systems;CEUR-WS;W
S9;1;Zerrouk2018;Managing Model Conflicts in Collaborative Modeling Using Constraint Programming;2018;CIST;International Congress on Information Science and Technology;IEEE;C
S10;1;Zerrouk2017;Collaborative modelling: An MDE-oriented process to manage large-scale models;2017;WITS;International Conference on Wireless Technologies, Embedded and Intelligent Systems;IEEE;C
S13;1;Bang2017;Continuous analysis of collaborative design;2017;WICSA;Working IEEE/IFIP Conference on Software Architecture;IEEE;C
S14;1;Trls2019;Multifaceted consistency checking of collaborative engineering artifacts;2019;MODELS;International Conference on Model Driven Engineering Languages and Systems;IEEE;C
S15;1;Halilaj2016;SerVCS: Serialization Agnostic Ontology Development in Distributed Settings;2016;IC3K;"International Joint Conference on Knowledge Discovery, Knowledge Engineering, and Knowledge Management
";Springer;C
S16;1;Prez-Soler2018;Collaborative modeling and group decision making using chatbots in social networ...;2018;IEEE Software;IEEE Software;IEEE;J
S17;1;Izquierdo2016;Collaboro: a collaborative (meta) modeling tool;2016;PeerJ Computer Science;PeerJ Computer Science;PeerJ;J
S18;1;Prez-Soler2017;The rise of the (modelling) bots: Towards assisted modelling via social networks;2017;ASE;International Conference on Automated Software Engineering;IEEE;C
S19;1;Debreceni2019a;Enforcing fine-grained access control for secure collaborative modelling using b...;2019;SoSyM;Software & Systems Modeling;Springer;J
S20;1;Nicolaescu2018a;Near real-time collaborative modeling for view-based web information systems eng...;2018;IS;Information systems;Elsevier;J
S21;1;Derntl2015;Near real-time collaborative conceptual modeling on the web;2015;ER;International Conference on Conceptual Modeling;Springer;C
S22;1;Vaquero-Melchor2017;Active domain-specific languages: Making every mobile user a modeller;2017;MODELS;International Conference on Model Driven Engineering Languages and Systems;IEEE;C
S23;1;Corley2016;Evaluating the cloud architecture of AToMPM;2016;MODELSWARD;International Conference on Model-Driven Engineering and Software Development;IEEE;C
S24;1;Vo2015;An approach to define and apply collaboration process patterns for software deve...;2015;MODELSWARD;International Conference on Model-Driven Engineering and Software Development;Springer;C
S25;1;Tendeloo2018;Unifying Model-and Screen Sharing;2018;WET ICE;International Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises;IEEE;W
S26;1;Gmez2020;Scalable modeling technologies in the wild: an experience report on wind turbine...;2020;SoSyM;Software & Systems Modeling;Springer;J
S27;1;Manca2016;Collaborative Task Modelling on the Web;2016;HCSE;"International Conference on Human-Centred Software Engineering
";Springer;C
