ClusterID;Cluster mnemonic;Cluster size;Paper ID;Title;Authors;Institutions;Page count;Reviewer names;Additional papers in the cluster;Source;Snowballing round;Collaboration subject;Notes about M1/M2 (private attribute);Editor type flexibility/agility;Tool support - CLIENT;Client type;View support;Multi-views;Language-specific;Modeling framework;UML diagrams;System domain;System domain type;System parts;Language(s) custo- mization support;Validation support;Reuse support;Roles;Collaborating parties;Collaboration types;Collaboration workflow;Consistency model;Unit of sync;Locking;Versioning support;VCS architecture;External VCS means;Branching;Model merging support;Diff/merge domain;Conflict mgmt approach;Conflict detection;Conflict awareness (User);Conflict resolution support;Shared workspace;Network architecture;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history;Stakeholder types;Approach-specific stakeholders;Workspace awareness;Workspace awareness score;Limitations and challenges;Future work;Keywords;Venue;Venue (complete name);Year;Publisher;Publication type;Citations (Google scholar);References;Collaboration goals;Modeling purposes;Prescribed SE activities;Evaluation;Readiness level (value);Readiness level (range);Tool availability;Quality of the research;Notes;;;;;;;;;;;;;;;;;;;;
C23;Yjs;7;S20;Near real-time collaborative modeling for view-based Web information systems engineering;Nicolaescu P, Rosenstengel M, Derntl M, Klamma R, Jarke M.;RWTH Aachen University, Fraunhofer FIT, Eberhard Karls Universitat Tubingen;17;Istvan;S21, S66, S67, S63, S64, S70;ScienceDirect;1;M2, M1;;GRA;RTU;BROWSER;PROJECTIVE;MULTI-VIEW SINGLE-MODEL;NO;Yjs;N/A;Specific;Web;UI;ex;NO;Elem;Metamodeler, Modeler;HUMAN-HUMAN;REAL-TIME;NO;STRONG EVENTUAL;CHANGE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;NO;NO;NO;SEMIAUTOMATED;REMOTE;P2P, MIXED;SYNCHRONOUS;Tags;Chat, Video, Voice communication channels;NO;NO;NO;NO;Tech;NO;User_action;High;"Well-formedness constraint checking is missing; no cardinalities/multiplicities on relationships; no conditions or inherited attributes; no aggregations on meta-classes; no model-view consistency.";"Expressiveness of conditions to allow more complex queries; intelligent modeling assistance";metamodeling, views, viewpoints, collaborative modeling;IS;Information Systems;2018;Elsevier;J;12;41;Conceptual modeling is a creative, social - especially for continuously evolving Web applications - process driven by the views of stakeholders.;Conceptualization;;EVAL, VAL_EXP;;;YES;6.0;EVAL: Controlled experiment. VAL_EXP: Proto, academic case studies;;;;;;;;;;;;;;;;;;;;
C22;MONDO;5;S26;Scalable modeling technologies in the wild: an experience report on wind turbines control applications development;Gomez A, Mendialdua X, Barmpis K, Bergmann G, Cabot J, de Carlos X, Debreceni Cs, Garmendia A,  Kolovos D, de Lara J;Universitat Oberta de Catalunya, Ikerlan Research Center, University of York, Budapest University of Technology and Economics, Universidad Autonoma de Madrid;33;Istvan;S3, S19, S47, S69;Springer;1;M1;;GRA, TREE, TEX, TAB;INS;DESKTOP;SYNTHETIC;MULTI-VIEW MULTI-MODEL;NO;EMF;N/A;Generic;Generic;Generic;import;rules;Frag;Modeler, Integrator;HUMAN-HUMAN;REAL-TIME, OFF-LINE MANUAL CHANGE PROPAGATION;NO;STRONG;CHANGE;PESSIMISTIC: partLock;EXTERNAL: MODELS;Centralized;Git, SVN;NO;YES;SYNTACTIC;ALLOW&RESOLVE;YES: INCREMENTAL;WARNING;SEMIAUTOMATED;REMOTE;CENTRALIZED: MULTIPLE SERVERS;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;NO;VCS;Low;"lock management semantics are vague (from S3: ""when the lock management service has to decide between accepting and rejecting a lock request, it is not possible to tell whether the owners of other locks would likely attempt any operations in the future that would violate this lock if granted""); validated using one DSL; performance is only satisfactory against the defined quantitative metrics";NO;;SoSyM;Software and Systems Modeling;2020;Springer;J;1;104;Complex systems require an interplay of engineers and other stakeholders.;NFR, RTE...;;EVAL, VAL_EXP;;;YES;5.0;Limitations absolutely omitted;;;;;;;;;;;;;;;;;;;;
C2;Modelshare;1;S25;Unifying Model- and Screen Sharing ;van Tendeloo Y, Vangheluwe H;University of Antwerp;6;Kousar;-;;1;M2, M1;;GRA;RTU;BROWSER;PROJECTIVE;MULTI-VIEW MULTI-MODEL;NO;Modelverse;N/A;Generic;Generic;Generic;infer;NO;Elem;Modeler;HUMAN-HUMAN;REAL-TIME;YES;STRONG;CHANGE;NO;NO;N/A;N/A;NO;NO;SEMANTIC;NO;YES;NO;SEMIAUTOMATED;REMOTE;CENTRALIZED: MULTIPLE SERVERS;SYNCHRONOUS;CallForAttention;NO;NO;NO;NO;NO;Tech;NO;UpEd, User_action;High;unclear how conflict managemenet is done;"Extension of modeling environment with simulation and debugging; resolution strategies incorporation";;WET ICE;International Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprise;2018;IEEE;W;2;21;Complexity of engineered system resulting in plethora of models can be addressed by concurrent engineering;NFR;;VALI;;;YES;5.0;Limitations not discussed, no rigorous validation but a running example is present. VALI: Prototype. (Modelverse.);;;;;;;;;;;;;;;;;;;;
C1;CrowdUI;1;S38;CrowdUI: Supporting Web Design with the Crowd;Oppenlaender J, Tiropanis T, Hosio S;University of Oulu, University of Southampton;28;Kousar;-;;1;M1;Models -> website UIs;GRA;RTU;BROWSER;PROJECTIVE;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Specific;Web;UI;NO;NO;Whole;Modeler, User ;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;EVENTUAL;STATE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;NO;NO;NO;SEMIAUTOMATED;REMOTE;CENTRALIZED: MULTIPLE SERVERS;ASYNCHRONOUS;Annotations, comments, reviews,  Feedback, voting;Email ;Hyperlinks;NO;NO;NO;Tech, NonTech;NonTech, User, Developer, UI Designer, App developer, Designer;HSE;Low;"tool operates in late design or website running phase, may lead to quite some rework on design; heatmaps show only qualitative view.";"Providing heatmaps with new ways of aggregating visual feedback; investigate types of incentives to motivate users in committed way for collaboration.";crowdsourcing, web design, participatory design, creativity support;;Proceeding of the ACM on Human Computer Interaction;2020;ACM;J;6;59;web design is complex and challenging - approach supports co-design of websites with visual feedback of users;NFR;;EVAL, VALI;;;YES;6.0;EVAL: Controlled experiment. VALI: Proto;;;;;;;;;;;;;;;;;;;;
C3;SerVCS;1;S15;SerVCS: Serialization Agnostic Ontology Development in Distributed Settings;Halilaj L, Grangel-Gonzalez I, Vidal ME, Lohmann S, Auer S;University of Bonn, Fraunhofer Institute, TIB Leibniz Information Center for Science and Technology, University of Hannover;20;Kousar, Sogol;-;;1;M1;M1 -> ontologies;External;NO;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;RDF;N/A;Generic;Generic;Generic;NO;rules;;User;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;YES;STRONG EVENTUAL;STATE;OPTIMISTIC;EXTERNAL: GENERIC VCS;Distributed;Git;NO;YES;SYNTACTIC;ALLOW&RESOLVE;YES;WARNING;SEMIAUTOMATED, MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;Developer, Modeler;VCS;High;Can not detect and resolve both syntatic and semantic conflicts automatically. Semantic inconsistencies that can be caused as a result of merging two versions of the same ontology.;Developing new techniques for automatically detecting and resolving not only syntatic but also semantic conflicts. Empowering SerVCS with probabilistic models on machine learning frameworks tp provide more accurate conflict detection and resolution strategies. Adding a semantic layer to SerVCS to prevent semantic inconsistencies that can be caused as a result of merging two versions of the same ontology. Conducting an extensive evaluation of the effectiveness and efficiency of the extended approach on both syntatic and semantic levels.;;;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;2019;Springer;C;0;23;Enabling VCSs to deal with various serializations of the same ontology in a multi-editor scenario and distributed environments which relies on reducing the number of false-positive conflicts indicated by VCSs.;Generic;;EVAL;;;YES;4.0;EVAL: A comprehensive emprical evaluation;;;;;;;;;;;;;;;;;;;;
C4;Collaboro;1;S17;Collaboro: a collaborative (meta) modeling tool;Izquierdo JLC, Cabot J;Universitat Oberta de Catalunya, ICREA;35;Istvan;-;;1;M2, M1;;TREE, TAB;RTU;BROWSER, DESKTOP;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;NO;EMF;N/A;Specific;Language engineering;Generic;import;rules, recommenders;;Language engineer, Community manager, User;HUMAN-HUMAN;REAL-TIME;YES;STRONG;CHANGE;NO;INTERNAL: MODELS;Centralized;N/A;NO;NO;SYNTACTIC;ALLOW&RESOLVE;YES;WARNING;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Proposals, Reviews, ConflictsList, Voting, Feedback;NO;NO;NO;YES;YES;Tech, NonTech;NonTech, Developer, User, Modeling expert, Community manager;VCS;High;Restricted options in voting (yes/no).;Extending the notation metamodel (and the renderer) to support richer CS definitions. Enhancing the decision engine with richer semantics than boolean votes. Porting the recommender to existing languages for assessing the quality of those languages. Support for OCL.;community, crowdsourcing, dsml, language engineering, metamodeling;PeerJ Computer Sciece;PeerJ Computer Sciece;2016;PeerJ;J;25;63;"Distributed development of DSMLs: distributed across language engineers; but also involving the community who are responsible to evaluate the DSML through their instances.";Tool engineering;;VAL_EXP;;;YES;6.0;N-N collaboration, specifically designed for the masses. VAL-EXP: prototyping + academic case study;;;;;;;;;;;;;;;;;;;;
C10;ActiveDSLs;1;S22;Active Domain-Specific Languages: making every mobile user a modeller;Vaquero-Melchor D, Palomares J, Guerra E, de Lara J;Universidad Autonoma de Madrid;8;Kousar;-;;1;M1;;GRA;INS;MOBILE;PROJECTIVE;MULTI-USER SINGLE-VIEW;NO;EMF;N/A;Specific;Mobile applications;Navigation;NO;NO;;Modeler, Facilitator;HUMAN-HUMAN;REAL-TIME;NO;EVENTUAL;STATE;PESSIMISTIC: partLock;NO;N/A;N/A;NO;NO;SYNTACTIC;PREVENTIVE;NO;NO;NO;REMOTE;CENTRALIZED: MULTIPLE SERVERS;SYNCHRONOUS;Chat, proposals, CallForAttention;Email;Hyperlinks;NO;Chat;NO;Tech, NonTech;NonTech, User, Developer;Ntf;Med;support collaboration for only one DSL.;exploitation of crowd modeling, combination of local and global synchronization mechanisms;active DSL, graphical modeling language, flexible modeling, mobile application, API integration;MODELS;International Conference on Model Driven Engineering Languages and Systems;2017;ACM/IEEE;C;2;27;In some scenarios, collaboration may take place in remote places and may need to rely on short-range communication capabilities of bluetooth or local WiFis.;srw;;NO;;;YES;4.0;no rigorous validation and limitations not discussed. ;;;;;;;;;;;;;;;;;;;;
C12;CMSPEM;1;S24;An Approach to Define and Apply Collaboration Process Patterns for Software Development;Vo TT, Coulette B, Tran HN, Lbath R;Institut de Recherche en Informatique de Toulouse;15;Kousar;-;;1;M1;;NO;NO;DESKTOP;PROJECTIVE;MULTI-USER SINGLE-VIEW;NO;SPEM;N/A;Generic;Generic;Generic;NO;NO;;User, ProjectLeader ;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;EVENTUAL;STATE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;ALLOW&RESOLVE;NO;NO;MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Feedback, Proposals, Comments;commit messages;NO;NO;NO;NO;Tech;Customer, Engineers, Business stakeholders;NO;Low;only proof-of-concept type small study is given. Tool is not provided, only mentioned that they build a prototype. ;"to maturize the tool, automate application of collaboration patterns, richer case studies; introduction of collaboration heuristics and strategies. ";Model Driven Engineering, Software development process, Collaboration, Collaboration pattern;MODELSWARD;"International Conference on Model Driven Engineering and 
Software Development";2015;Springer;W;2;25;put collaboration in action for complex software development by introducing collaboration process patterns;;;VALI;;;NO;4.5;"no rigorous validation: -1
discussion of limitations: -0.5 (only discussed one limitation explicitly)";;;;;;;;;;;;;;;;;;;;
C13;Stigmergic;1;S30;A Collaborative Conceptual Modeling Tool Based on Stigmergy Mechanism;Jiang Y, Wang S, Fu K, Zhang W, Zhao H;Ministry of Education of China, Peking University;8;Kousar;-;;1;M1;;GRA;RTU;BROWSER;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Generic;Generic;Generic;NO;rules;;Modeler;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;NO;EVENTUAL;CHANGE;NO;NO;N/A;N/A;NO;YES;SEMANTIC;ALLOW&RESOLVE;YES: INCREMENTAL;NO;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Feedback ;NO;NO;NO;NO;NO;Tech;model engineer;NO;Low;The tool mismerges the models if there are too many differences. ;"to devise efficient ways for merging (instead of using minimized entropy values) to increase scalability of approach; apply proposed approach to diverse modeling problems.";stigmergy, conceptual modeling, model merging, crowd;Interware;Proceeding of the 8th Asia-specific symposium of Interware;2016;ACM;C;1;11;To facilitate collaboration for distributed online crowd through a merge-feedback process;Generic;;VAL_EXP;;;NO;6.0;;;;;;;;;;;;;;;;;;;;;
C14;TouchCORE;1;S2;Towards Online Collaborative Multi-view Modelling;Kanagasabai N, Alam O, Kienzle J;McGill University, Trent University;17;Istvan;-;;1;M1, M2;;GRA;INS;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;EMF;N/A;Generic;Generic;Generic;NO;NO;;Modeler;HUMAN-HUMAN;REAL-TIME;NO;EVENTUAL;CHANGE;OPTIMISTIC;NO;N/A;N/A;NO;NO;SYNTACTIC;ALLOW&RESOLVE;YES: INCREMENTAL;WARNING;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Notifications, change highlighting, chat, audio;NO;NO;Notifications, change highlighting;NO;NO;Tech;Modeler, language engineer;UpEd;High;Limited evaluation of effectiveness of the peresented algorithms (on metamodels of other multi-view modelling approaches).;"evaluation of the effectiveness of the algorithms; extension of the work to multi-model collaborative environments (approaches in which views are stored in separate models and hence cross-references between views are expressed using more elaborate consistency constraints); user studies on the effectiveness and most appropriate duration of highlighting";multi-level modeling, algorithms, highlighting;SAM;International Conference on System Analysis and Modeling;2018;Springer;C;3;25;"distributed software development teams rely on online collaboration; the system is described at different levels of abstraction from multiple points of view";Multi-level modeling;;VAL_EXP;;;YES;4.5;Limitations aren't discussed in sufficient details. VAL_EXP: Prototype + academic case study.;;;;;;;;;;;;;;;;;;;;
